day,winter,relative_latitude,relative_longitude,s0,s1,s2,s3,s4,label
-1.492959529,18.60555473,-1.983391385,-0.604683749,2.10465356,-1.053223038,-0.419653404,-1.652791542,0.696251738,1
-1.753708112,-0.05374739,-1.970700316,-0.595914406,1.841440481,-1.050000984,-1.35244197,-0.30609975,0.586139983,1
-2.027828418,-0.05374739,-1.756161617,0.279886949,0.196845524,2.534824071,0.461431884,-1.738331636,-1.521060476,1
-0.349677277,-0.05374739,-1.94774274,-0.624048502,1.116607046,0.009662102,-1.345348256,0.187722106,-0.230499918,1
-1.660106057,-0.05374739,-1.929533266,-0.518562563,0.654182719,0.816421335,-0.481608477,-1.239643978,0.117476745,1
-0.42990761,-0.05374739,-1.881288963,-0.63771861,2.42811767,-2.08484751,-1.927945083,0.054935705,1.105966096,1
-0.276132805,-0.05374739,-1.697915994,-0.57483428,1.476879233,-1.489459072,0.195207463,0.283136025,-0.729837749,1
-1.954283946,-0.05374739,-1.974346981,-0.594997143,1.960165094,-0.210026985,-0.27382479,-0.552187097,-1.24429843,1
0.198563335,-0.05374739,-1.908360437,-0.564839569,1.264362754,-0.224403646,-0.718953199,-0.300994426,-0.245121036,1
0.432568474,-0.05374739,-1.987849044,-0.68484308,3.904313791,-1.402097853,-1.85515639,-1.802811579,0.603782957,1
0.492741224,-0.05374739,-1.981290939,-0.68024196,-0.072129868,0.328298813,-0.387060845,-0.78379786,1.307471386,1
0.499427085,-0.05374739,-1.986732173,-0.679445259,2.224353727,0.162953073,-1.679894851,-0.509694925,-0.573645138,1
0.486055363,-0.05374739,-1.987850447,-0.684897368,0.654182719,0.816421335,-0.481608477,-1.239643978,0.117476745,1
0.479369502,-0.05374739,-1.987917796,-0.684901599,0.654182719,0.816421335,-0.481608477,-1.239643978,0.117476745,1
-0.938033056,18.60555473,-1.63065403,-0.618140229,0.173413607,-0.322152604,1.174907949,-0.531815595,-0.502575861,0
-2.108058752,-0.05374739,0.240910338,-0.310902278,1.836480224,-0.463255285,-0.419874121,0.409098319,-1.780188342,0
-0.811001694,-0.05374739,-0.382516505,-0.507819799,0.074300302,-0.760412253,-0.410027156,-1.088156525,2.371385821,0
-2.161545641,-0.05374739,-0.094904188,-0.320115799,1.008044705,-0.804386303,-0.187311463,-0.006044165,-0.116994382,0
-0.78425825,-0.05374739,-1.650317119,-0.58924398,0.654182719,0.816421335,-0.481608477,-1.239643978,0.117476745,0
-0.730771361,-0.05374739,1.343473094,0.733379334,1.069904873,-1.335768305,1.54544836,-0.62126696,-0.796760746,0
